algorithm,K,dataset,seed,runtime,best,eval_reward
td3,-1,online,90237,6.441826997200648,-320546.1875,"[-333749.28125 -333216.78125 -342967.      -332925.25    -333707.65625
 -338926.5625  -344673.09375 -340704.71875 -333507.78125 -343579.
 -335673.46875 -329511.28125 -331938.0625  -339482.4375  -331272.25
 -332897.0625  -334950.21875 -331411.34375 -341170.21875 -320546.1875
 -340726.25    -327515.90625 -336513.4375  -333057.5     -327812.90625
 -339414.0625  -330830.125   -335073.5     -322146.6875  -338139.34375
 -330458.90625 -350777.875   -326283.75   ]"
ddpg,-1,online,60605,3.267963067624304,-402602.0625,"[-416217.40625 -424679.9375  -412454.4375  -428924.625   -413365.40625
 -415709.28125 -419185.96875 -416641.40625 -420323.53125 -408885.625
 -419238.90625 -422293.9375  -427708.21875 -415197.96875 -419381.09375
 -425262.84375 -430222.6875  -411421.28125 -418799.3125  -402602.0625
 -424362.28125 -416804.59375 -424709.90625 -421921.6875  -410446.96875
 -419641.46875 -419744.78125 -414861.      -419871.28125 -429322.71875
 -406161.15625 -422571.34375 -422219.5625 ]"
ddpg,-1,online,3666,3.2673983014292185,-378795.25,"[-409022.0625  -387695.40625 -390681.875   -384188.25    -382090.96875
 -400968.75    -404909.125   -389224.9375  -398502.15625 -400741.96875
 -396128.875   -385344.53125 -378795.25    -408164.53125 -407725.875
 -396401.84375 -400379.34375 -400610.1875  -390959.65625 -382530.875
 -404964.34375 -398959.5     -408816.3125  -391580.25    -391782.8125
 -395323.375   -410458.5     -401354.71875 -401071.0625  -398664.59375
 -391934.625   -393454.375   -392067.71875]"
ddpg,-1,online,40601,3.2597386874755223,-409139.28125,"[-436233.46875 -433790.53125 -429346.34375 -425246.5     -439625.5
 -415435.59375 -414589.875   -420542.9375  -425664.71875 -427956.75
 -409139.28125 -420793.21875 -414615.78125 -421960.75    -422286.75
 -416611.84375 -425259.375   -426875.90625 -421433.5     -415711.6875
 -410300.65625 -419610.65625 -422868.1875  -416123.0625  -415178.90625
 -424194.0625  -418160.34375 -419358.3125  -409391.5     -417106.65625
 -413826.0625  -419189.5     -425530.125  ]"
a2c,-1,online,77336,3.2956224106417764,-365915.8125,"[-472889.375   -461833.625   -500605.1875  -518820.90625 -463545.6875
 -472568.25    -375658.875   -432937.8125  -380325.84375 -413936.6875
 -365915.8125  -405629.4375  -440547.59375 -414015.3125  -433142.59375
 -443467.65625 -386931.125   -445687.28125 -396999.0625  -430295.6875
 -480762.4375  -487112.78125 -447002.46875 -422554.21875 -449670.6875
 -457392.6875  -441062.59375 -405135.375   -420021.9375  -366891.84375
 -406725.40625 -395663.25    -377382.4375 ]"
a2c,-1,online,93671,3.2945356728633244,-420928.40625,"[-501041.3125  -502713.875   -475303.78125 -445223.84375 -551079.9375
 -525469.375   -528759.4375  -546739.5625  -509448.09375 -497609.84375
 -504239.      -488539.84375 -519460.40625 -520967.6875  -552677.6875
 -519253.6875  -498926.75    -470390.75    -465850.65625 -494609.09375
 -420928.40625 -447989.15625 -489988.28125 -496950.3125  -476060.9375
 -493367.71875 -497232.40625 -492257.78125 -477131.75    -479606.46875
 -546032.9375  -550012.0625  -487074.21875]"
a2c,-1,online,70481,3.296506625877486,-373462.15625,"[-443693.59375 -479134.5     -533726.5     -538094.6875  -547085.625
 -434257.28125 -418000.53125 -430563.5625  -482072.25    -391452.03125
 -397590.0625  -374417.875   -373462.15625 -392898.5     -435430.4375
 -398780.28125 -438795.1875  -424554.5     -439311.625   -443155.8125
 -452587.90625 -409691.34375 -441783.125   -460096.      -510326.96875
 -482546.6875  -474467.65625 -501341.90625 -470939.3125  -476554.40625
 -487548.6875  -496936.6875  -519840.3125 ]"
trpo,-1,online,82011,2.8659461692969006,-126919.484375,"[-232926.234375 -234816.515625 -216462.3125   -212102.140625
 -199845.0625   -208442.21875  -180985.8125   -171250.84375
 -179070.34375  -169267.328125 -148646.46875  -158826.5
 -148863.21875  -169152.40625  -152244.390625 -146710.296875
 -171227.875    -147523.921875 -174464.328125 -160257.703125
 -152575.546875 -151902.859375 -146702.6875   -149970.359375
 -143568.625    -152999.28125  -154896.546875 -140379.15625
 -134324.359375 -126919.484375 -150585.734375 -142913.5625
 -158457.96875 ]"
trpo,-1,online,72978,2.8379230871465473,-158826.5625,"[-256536.75     -243118.671875 -243300.484375 -205657.453125
 -219035.1875   -203139.453125 -185875.15625  -179277.5
 -175652.65625  -189524.890625 -194219.703125 -202145.625
 -168915.296875 -172328.5      -177608.328125 -170634.453125
 -164877.796875 -171786.03125  -165314.9375   -162679.640625
 -158826.5625   -161692.875    -172533.53125  -166705.46875
 -200747.359375 -205719.0625   -194211.90625  -200393.625
 -194860.78125  -219364.5      -202560.578125 -214873.421875
 -227436.75    ]"
trpo,-1,online,98218,2.848149755001068,-135238.53125,"[-192952.34375  -234640.765625 -207947.78125  -196440.953125
 -216914.609375 -233122.40625  -198131.234375 -206159.65625
 -170273.640625 -150843.171875 -160334.125    -175181.9375
 -181183.265625 -160628.5      -171697.15625  -181071.6875
 -194200.328125 -191432.859375 -159881.25     -147956.5
 -160284.234375 -157067.03125  -151011.84375  -135238.53125
 -141467.375    -144047.203125 -140309.484375 -135384.609375
 -146743.09375  -138322.609375 -139719.609375 -146682.9375
 -151658.921875]"
