algorithm   ,K   ,dataset         ,seed ,max_reward       ,profits       ,user_satisfaction ,power_violation ,runtime             ,epochs ,max_reward_epoch
QT          ,  2 ,bau_100         ,  20 ,-74599.60885869  ,-351.06430708 ,       0.93405532 ,    84.85489372 , 9.487025736107777  ,   250 ,             164
QT          ,  2 ,bau_1000        ,  20 ,-66944.27261646  ,-343.71616454 ,       0.93267161 ,    25.82407512 , 9.515853301643055  ,   250 ,              35
QT          ,  2 ,bau_10000       ,  10 ,-66767.9100897   ,-399.1800854  ,       0.96509678 ,    60.89233504 , 9.549729735298332  ,   250 ,              48
QT          ,  2 ,optimal_100     ,  30 ,-91558.31136326  ,-239.1284752  ,       0.85599228 ,     2.65965388 , 9.431632103301943  ,   250 ,             147
QT          ,  2 ,optimal_1000    ,  30 ,-67522.94014128  ,-319.41569758 ,       0.92244012 ,    11.16962564 , 9.50762570073      ,   250 ,              68
QT          ,  2 ,optimal_10000   ,  30 ,-80536.91768684  ,-242.751911   ,       0.8692268  ,     5.41797056 , 9.528931014583332  ,   250 ,              89
QT          ,  2 ,random_100      ,  20 ,-197841.3146625  ,-36.4670379   ,       0.67967021 ,     0.56613965 , 9.4643708537725    ,   250 ,               6
QT          ,  2 ,random_1000     ,  20 ,-204246.14659236 ,-29.0293895   ,       0.67285568 ,     0.45270183 , 9.514969864113333  ,   250 ,              82
QT          ,  2 ,random_10000    ,  30 ,-204885.12803065 ,-24.0775496   ,       0.66878464 ,     0.42006021 , 9.50887037407111   ,   250 ,              35
QT          , 10 ,bau_100         ,  30 ,-72103.7560172   ,-319.22469691 ,       0.91885426 ,    53.619362   , 9.576553823810276  ,   250 ,              51
QT          , 10 ,bau_1000        ,  20 ,-71453.18834451  ,-353.36498151 ,       0.93560187 ,    43.01153743 , 9.587067666234168  ,   250 ,             167
QT          , 10 ,bau_10000       ,  20 ,-74578.86427319  ,-326.9024795  ,       0.91927806 ,    43.11251114 , 9.647172166186945  ,   250 ,              12
QT          , 10 ,optimal_100     ,  30 ,-90006.75638762  ,-269.65360291 ,       0.87475353 ,     2.86654185 , 9.57488781933611   ,   250 ,               1
QT          , 10 ,optimal_1000    ,  30 ,-86682.93091437  ,-242.024228   ,       0.86230169 ,     6.70293006 , 9.660372782679724  ,   250 ,              37
QT          , 10 ,optimal_10000   ,  20 ,-90615.79408717  ,-225.10890885 ,       0.85215179 ,     6.27740078 , 9.662161913435     ,   250 ,              54
QT          , 10 ,random_100      ,  20 ,-209658.48328311 ,-17.86759509  ,       0.66292111 ,     0.39010408 , 9.6310130609875    ,   250 ,              86
QT          , 10 ,random_1000     ,  30 ,-201284.17016914 ,-28.75588792  ,       0.67311255 ,     0.47826241 , 9.604065070698333  ,   250 ,              38
QT          , 10 ,random_10000    ,  30 ,-198978.4875722  ,-29.8681236   ,       0.67425835 ,     0.50804209 , 9.656414993369443  ,   250 ,              42
dt          ,  2 ,bau_100         ,  10 ,-79727.84045741  ,-325.87716428 ,       0.92559488 ,   150.39198873 , 5.821011488696389  ,   250 ,              50
dt          ,  2 ,bau_1000        ,  30 ,-71922.60493819  ,-266.82420867 ,       0.89358939 ,    37.5439323  , 5.823059365497222  ,   250 ,             243
dt          ,  2 ,bau_10000       ,  20 ,-69576.44021439  ,-295.63875129 ,       0.90817608 ,    55.39360303 , 5.830217162875833  ,   250 ,             245
dt          ,  2 ,optimal_100     ,  10 ,-67718.10457409  ,-357.30642208 ,       0.94551756 ,    40.42061112 , 5.7425573086297215 ,   250 ,               3
